# projection-study.tsv — per-OCS-lexeme detail of the phase-1 projection study.
# generated-by: cargo xtask projection-study
# contract: docs/UNIFIED_LANGUAGE_PROMPT.md (execution plan step 1).
lexeme_id	pos	lemma	candidates	match_kind	matched_key	cells	cells_exact	cells_accent_blind	cells_divergent	cells_unprojectable
бескръбьнъ|adj|30b7efb84a91590b	adj	бескръбьнъ	9	none		252	0	0	252	0
беслъньнъ|adj|c0212fc27639b0ff	adj	беслъньнъ	9	none		252	0	0	252	0
бесплътьнъ|adj|61cfd80152cc36d9	adj	бесплътьнъ	9	none		252	0	0	252	0
бесрамъкъ|noun|f2fed652481116d0	noun	бесрамъкъ	3	none		21	0	0	21	0
бестоудьникъ|noun|e31ec9704b45da98	noun	бестоудьникъ	3	none		21	0	0	21	0
бестоудьць|noun|fd2819325ad8b76d	noun	бестоудьць	3	none		21	0	0	21	0
бестьлѣнъ|adj|cca07bdc32cee105	adj	бестьлѣнъ	3	none		252	0	0	252	0
бестьлѣньнъ|adj|38df88583e00a431	adj	бестьлѣньнъ	9	none		252	0	0	252	0
бесхрамьникъ|noun|d6c07b75452e17a1	noun	бесхрамьникъ	3	none		21	0	0	21	0
бесѣда|noun|ef18b6186463bda5	noun	бесѣда	1	registered-lexeme	бесѣда	21	0	14	7	0
бесѣдовати|verb|fd6fd07d93f54141	verb	бесѣдовати	1	oracle-type	бесѣдовати	11	0	1	10	0
бивати|verb|2133cc1d867c3627	verb	бивати	1	none		11	0	0	11	0
бискоупъ|noun|a02a3a06d8850eb7	noun	бискоупъ	1	none		21	0	0	21	0
бити|verb|e7ab9d294e7bdbc4	verb	бити	1	registered-lexeme	бити	11	0	2	9	0
бичь|noun|5f169c375a7c2ee8	noun	бичь	1	oracle-type	бичь	21	0	11	10	0
биѥниѥ|noun|7459f8622557e232	noun	биѥниѥ	1	none		21	0	0	21	0
благоволеньѥ|noun|34025e06bff7b008	noun	благоволеньѥ	3	none		21	0	0	21	0
благовѣствованьѥ|noun|4317b3ca84b45839	noun	благовѣствованьѥ	3	none		21	0	0	21	0
благовѣштати|verb|3eba53a49012fdd0	verb	благовѣштати	1	none		11	0	0	11	0
благодавьць|noun|8ddcebfbc3bc42f4	noun	благодавьць	3	none		21	0	0	21	0
благодарьствиѥ|noun|a11475ed465a4340	noun	благодарьствиѥ	3	none		21	0	0	21	0
благодатьникъ|noun|51ebd34cd0989832	noun	благодатьникъ	3	none		21	0	0	21	0
благодѣтел҄ь|noun|9dcb97e14c0f4c90	noun	благодѣтел҄ь	1	none		23	0	7	16	0
благодѣть|noun|d9e0bfecf37daa9d	noun	благодѣть	1	none		26	0	0	26	0
благожитиѥ|noun|f3206d84dd181289	noun	благожитиѥ	1	none		21	0	0	21	0
благословениѥ|noun|2461035a77ab026a	noun	благословениѥ	1	none		21	0	0	21	0
благословити|verb|9d3c95ce56eb87f0	verb	благословити	1	registered-lexeme	благословити	43	0	17	26	0
благость|noun|8c98d3f4fd0cb8f1	noun	благость	1	oracle-type	благость	26	0	13	13	0
благостꙑн҄и|noun|ee8d0e78d8d31c8f	noun	благостꙑн҄и	1	oracle-type	благостыни	21	0	11	10	0
благоѫханиѥ|noun|f8fb290e934bfcbf	noun	благоѫханиѥ	2	none		7	0	0	7	0
благъ|adj|8cb72df1035b975f	adj	благъ	1	registered-lexeme	благъ	252	0	140	112	0
блаженикъ|noun|08fe98e6eab7e15c	noun	блаженикъ	1	none		21	0	0	21	0
блаженъ|adj|35918ee8acfd8424	adj	блаженъ	1	registered-lexeme	блаженъ	253	0	50	203	0
блаженьство|noun|8c2bd532fc5f30c5	noun	блаженьство	3	none		21	0	0	21	0
блажити|verb|827c0f78653613a2	verb	блажити	1	none		43	0	8	35	0
блазна|noun|329763f1fa2fc8d9	noun	блазна	1	none		21	0	0	21	0
блазнити|verb|3e54e5d471162975	verb	блазнити	1	none		11	0	0	11	0
блато|noun|4486cee168490c8a	noun	блато	1	oracle-type	блато	21	0	3	18	0
блатьньскъ|adj|bd641e7f33ebe185	adj	блатьньскъ	9	none		252	0	0	252	0
ближика|noun|bc1abb2e267bf386	noun	ближика	1	none		21	0	0	21	0
близньць|noun|1e2250d09441ffc4	noun	близньць	3	none		21	0	4	17	0
блискъ|noun|dd1f3687ea540e76	noun	блискъ	1	none		21	0	0	21	0
блъгаринъ|noun|94c9dbd0dee474c5	noun	блъгаринъ	3	none		21	0	0	21	0
бльвати|verb|ea0262853fccb4aa	verb	бльвати	3	none		11	0	0	11	0
блюдъ|noun|6cdfe51d294fd5fb	noun	блюдъ	1	oracle-type	блюдъ	21	0	12	9	0
блюсти|verb|34145a67a5b25134	verb	блюсти	1	registered-lexeme	блюсти	11	0	1	10	0
блѣдъ|adj|635ecf0a4aba7025	adj	блѣдъ	1	oracle-type	блѣдъ	252	0	12	240	0
блѣдѣти|verb|8a24c89903e54875	verb	блѣдѣти	1	none		40	0	0	40	0
блѧдь|noun|3d26ddbb3a49c00d	noun	блѧдь	1	none		26	0	0	26	0
блѧдь|noun|e03a93e35d948f85	noun	блѧдь	1	none		26	0	0	26	0
блѧдьникъ|noun|c9faba994471e984	noun	блѧдьникъ	3	none		23	0	0	23	0
блѧсти|verb|682dc9d2de7c8e1b	verb	блѧсти	1	none		11	0	0	11	0
блѫдилищѥ|noun|41e3b2e8113473cf	noun	блѫдилищѥ	2	oracle-type	блудилище	21	0	3	18	0
блѫдити|verb|19a15ec40076495d	verb	блѫдити	2	oracle-type	блудити	11	0	4	7	0
блѫдъ|noun|9faa600ffd86cfd7	noun	блѫдъ	2	oracle-type	блудъ	21	0	16	5	0
блѫдьникъ|noun|e7d2d0053500777f	noun	блѫдьникъ	6	oracle-type	блудникъ	23	0	6	17	0
блѫдьница|noun|8829226d13433fd7	noun	блѫдьница	6	oracle-type	блудница	21	0	8	13	0
блѫдьничьство|noun|49ccf3e728299409	noun	блѫдьничьство	18	none		21	0	0	21	0
блѫдьнъ|adj|11bd355787120dff	adj	блѫдьнъ	6	none		252	0	54	198	0
бл҄ьвотина|noun|51c55328a0ffe550	noun	бл҄ьвотина	3	none		21	0	7	14	0
богатъ|adj|bfad9b6766b803ad	adj	богатъ	1	registered-lexeme	богатъ	252	0	74	178	0
богатьствиѥ|noun|4681edc9516cce04	noun	богатьствиѥ	3	none		21	0	0	21	0
богатьство|noun|31094b20bdff79f8	noun	богатьство	3	registered-lexeme	богатьство	21	0	17	4	0
богоборьць|noun|2b3e57ff6b6302af	noun	богоборьць	3	none		21	0	0	21	0
боговидьць|noun|cfc0406a90a1b0e5	noun	боговидьць	3	none		21	0	0	21	0
боголюбьць|noun|3935789961035502	noun	боголюбьць	3	none		21	0	0	21	0
богоносьцъ|noun|f28aaec83cfa3d45	noun	богоносьцъ	3	none		21	0	0	21	0
богосварьникъ|noun|32357bec8b48fe14	noun	богосварьникъ	3	none		21	0	0	21	0
богословьць|noun|6669b43731341787	noun	богословьць	3	none		21	0	0	21	0
богочьтьць|noun|e2c408bff4361bb2	noun	богочьтьць	9	none		21	0	0	21	0
богъ|noun|546877f9dff800e2	noun	богъ	1	registered-lexeme	богъ	21	0	16	5	0
богꙑн҄и|noun|fc536e8a351eb89b	noun	богꙑн҄и	1	none		21	0	0	21	0
божьство|noun|53b8a55c786eaab7	noun	божьство	3	none		21	0	0	21	0
боль|noun|661b793a6b518605	noun	боль	1	none		26	0	0	26	0
боль|noun|e08d47c66937e83d	noun	боль	1	none		26	0	0	26	0
больнъ|adj|e5ed2cf91c17e3e5	adj	больнъ	3	oracle-type	боленъ	252	0	32	220	0
болѣзнь|noun|f9f2e7e7b4f11bc5	noun	болѣзнь	1	registered-lexeme	болѣзнь	26	0	15	11	0
болѣзньнъ|adj|a0a28772e8e1f163	adj	болѣзньнъ	3	none		252	0	0	252	0
болѣти|verb|4b19385ba94439bb	verb	болѣти	1	oracle-type	болѣти	42	0	5	37	0
болꙗринъ|noun|5b6cf01ec8d25e8d	noun	болꙗринъ	1	none		21	0	0	21	0
борьць|noun|a776e29756c7f856	noun	борьць	3	none		21	0	0	21	0
бости|verb|a0d98c8811593642	verb	бости	1	none		42	0	3	39	0
боудити|verb|c9838d5d49e4679d	verb	боудити	1	none		11	0	0	11	0
боуи|adj|a19f2c93947528ec	adj	боуи	1	oracle-type	буи	252	0	118	134	0
боуиство|noun|055d855b5007533b	noun	боуиство	1	none		21	0	0	21	0
боукарь|noun|1e059bfe29cddb10	noun	боукарь	1	none		23	0	0	23	0
боукꙑ|noun|2fef12ead82481ae	noun	боукꙑ	1	none		22	0	0	22	0
боурꙗ|noun|ff60b18ae4e141a5	noun	боурꙗ	1	oracle-type	бурѧ	21	0	15	6	0
боуѥсть|noun|073bf75ab10705cf	noun	боуѥсть	1	none		26	0	0	26	0
боꙗзнь|noun|cdc21a331be02933	noun	боꙗзнь	1	oracle-type	боѧзнь	26	0	12	14	0
боꙗти|verb|9dcd5a0dfbb2522d	verb	боꙗти	1	none		40	0	0	40	0
