# synodal-gold-gap.tsv — the committed gap worklist of the Synodal gold gate.
# generated-by: cargo xtask synodal-gold --fix
# contract: docs/SYNODAL_GOLD_ORACLE.md; one row per failing token type or paradigm cell.
# The gate (synodal-gold --check) fails if the regenerated gap is not a subset of this file.
oracle	key	reason	engine_output	expected
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|nominative+accusative+vocative:dual::::	unregistered-lemma		ѻ҆́трѡк-а
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|nominative+vocative:plural::::	unregistered-lemma		ѻ҆́троц-ы
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|nominative:singular::::	unregistered-lemma		ѻ҆́трок-ъ
paradigm	§34. Образцы 1-го склонения|p034.htm|2|ѻ҆́трок-ъ|Твердое склонение на гортанный|vocative:singular::::	unregistered-lemma		ѻ҆́троч-е
paradigm	§37. Особенности 1-го склонения|p037.htm|1|||accusative:::::	unregistered-lemma		бра́тїй
paradigm	§37. Особенности 1-го склонения|p037.htm|1|||instrumental:::::	unregistered-lemma		бра́тїѧми
paradigm	§37. Особенности 1-го склонения|p037.htm|1|||locative:::::	unregistered-lemma		ѡ҆ бра́тїѧхъ
paradigm	§37. Особенности 1-го склонения|p037.htm|1|бра́тїѧ||dative:::::	unreviewed-cell		бра́тїѧмъ
paradigm	§37. Особенности 1-го склонения|p037.htm|1|бра́тїѧ||genitive:::::	engine-wrong-form	бра́тїи	бра́тїй
paradigm	§39. 2-е склонение|p039.htm|1|жен-а̀|Твердое склонение|dative+instrumental:dual::::	unreviewed-cell		жен-а́ма
paradigm	§39. 2-е склонение|p039.htm|1|жен-а̀|Твердое склонение|genitive+locative:dual::::	unreviewed-cell		жєн-ꙋ̀
paradigm	§39. 2-е склонение|p039.htm|1|жен-а̀|Твердое склонение|locative:plural::::	unreviewed-cell		жен-а́хъ
paradigm	§39. 2-е склонение|p039.htm|1|жен-а̀|Твердое склонение|nominative+accusative+vocative:dual::::	unreviewed-cell		жєн-ѣ̀
paradigm	§39. 2-е склонение|p039.htm|1|земл-ѧ̀|Мягкое склонение|dative+instrumental:dual::::	engine-wrong-accent	землѧ́ма	зе́мл-ѧма
paradigm	§39. 2-е склонение|p039.htm|1|рꙋк-а̀|Твердое склонение|genitive+locative:dual::::	unreviewed-cell		рꙋк-ꙋ̀
paradigm	§39. 2-е склонение|p039.htm|1|рꙋк-а̀|Твердое склонение|vocative:singular::::	unreviewed-cell		рꙋк-о̀
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|accusative:plural::::	unregistered-lemma		сꙋдї-и̑ (е́й)
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|accusative:singular::::	unregistered-lemma		сꙋдї-ю̀
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|dative+instrumental:dual::::	unregistered-lemma		сꙋдї-ѧ́ма
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|dative:plural::::	unregistered-lemma		сꙋдї-ѧ́мъ
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|dative:singular::::	unregistered-lemma		сꙋдї-ѝ
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|genitive+locative:dual::::	unregistered-lemma		сꙋдї-ю̑
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|genitive:plural::::	unregistered-lemma		сꙋ́дї-й (е́й)
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|genitive:singular::::	unregistered-lemma		сꙋдї-ѝ
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|instrumental:plural::::	unregistered-lemma		сꙋдї-ѧ́ми
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|instrumental:singular::::	unregistered-lemma		сꙋдї-е́ю
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|locative:plural::::	unregistered-lemma		сꙋдї-ѧ́хъ
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|locative:singular::::	unregistered-lemma		сꙋдї-ѝ
paradigm	§39. 2-е склонение|p039.htm|1|сꙋдї-ѧ̀|Мягкое склонение|nominative+accusative+vocative:dual::::	unregistered-lemma		сꙋдї-и̑
