id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
крестоѧвленнѡ.x.2	крестоѧвле́ннѡ	x	-	-	adv	a	-	-	-	P:-	adv
кромѣ.x.2	кромѣ̀	x	-	-	prep	a	gov=gen;pros=procl	-	-	P:-	pr
крѣпкоизрѧднѡ.x.2	крѣпкоизрѧ́днѡ	x	-	-	adv	a	-	-	-	P:-	adv
крꙋгловиднѡ.x.2	крꙋглови́днѡ	x	-	-	adv	a	-	-	-	P:-	adv
ксемꙋ.x.2	ксемꙋ̀	x	-	-	adv	a	-	-	-	P:-	adv
ктомꙋ.x.2	ктомꙋ̀	x	-	-	adv	a	-	-	-	P:-	adv
ктомꙋже.x.2	ктомꙋ́же	x	-	-	adv	a	-	-	-	P:-	adv
къ.x.2	къ	x	-	-	prep	-	gov=dat;pros=procl	-	word=ко|ко̀	P:-	pr
кꙋда.x.2	кꙋда̀	x	-	-	adv	a	-	-	-	P:-	adv
кꙋдѣ.x.2	кꙋдѣ̀	x	-	-	adv	a	-	-	-	P:-	adv
кꙋмі.x.2	кꙋ́мі	x	-	-	intj	a	-	-	-	P:-	intj
кꙋпномꙋдреннѣ.x.2	кꙋпномꙋ́дреннѣ	x	-	-	adv	a	-	-	-	P:-	adv
кꙋпнѡ.x.2	кꙋ́пнѡ	x	-	-	adv	a	-	-	word=кꙋ́пно	P:-	adv
латински.x	лати́нски	x	-	-	adv	a	-	-	-	P:-	adv
легкомысленнѣ.x.2	легкомы́сленнѣ	x	-	-	adv	a	-	-	-	P:-	adv
ли.x.2	ли	x	-	-	conj	-	pros=encl	-	word=лѝ	P:-	conj
либо.x.2	ли́бо	x	-	-	part	a	-	-	-	P:-	part
ликовнѣ.x.2	лико́внѣ	x	-	-	adv	a	-	-	-	P:-	adv
лихоимственнѡ.x.2	лихои́мственнѡ	x	-	-	adv	a	-	-	-	P:-	adv
львоѡбразнѡ.x	львоѡбра́знѡ	x	-	-	adv	a	-	-	-	P:-	adv
любо.x.2	лю́бо	x	-	-	part	a	-	-	-	P:-	part
любо.x.4	лю́бо	x	-	-	part	a	-	-	-	P:-	part
любоболѣзненнѡ.x.2	любоболѣ́зненнѡ	x	-	-	adv	a	-	-	-	P:-	adv
любодѣльнѡ.x.2	любодѣ́льнѡ	x	-	-	adv	a	-	-	-	P:-	adv
любоистиннѣ.x.2	любои́стиннѣ	x	-	-	adv	a	-	-	-	P:-	adv
любомꙋдреннѡ.x.2	любомꙋ́дреннѡ	x	-	-	adv	a	-	-	-	P:-	adv
любопремꙋдростнѣ.x.2	любопремꙋ́дростнѣ	x	-	-	adv	a	-	-	-	P:-	adv
любопрительнѣ.x.2	любопри́тельнѣ	x	-	-	adv	a	-	-	-	P:-	adv
любочеловѣчнѣ.x.2	любочеловѣ́чнѣ	x	-	-	adv	a	-	-	-	P:-	adv
лѣпоподобнѡ.x.2	лѣпоподо́бнѡ	x	-	-	adv	a	-	-	-	P:-	adv
лѣпотственнѡ.x.2	лѣ́потственнѡ	x	-	-	adv	a	-	-	-	P:-	adv
лѣть.x.2	лѣ́ть	x	-	-	adv	a	-	-	-	P:-	adv
малижды.x.2	ма́лижды	x	-	-	adv	a	-	-	word=мали́жды	P:-	adv
маловиднѡ.x.2	малови́днѡ	x	-	-	adv	a	-	-	-	P:-	adv
матерински.x.2	матери́нски	x	-	-	adv	a	-	-	-	P:-	adv
матеролѣпнѡ.x.2	матеролѣ́пнѡ	x	-	-	adv	a	-	-	-	P:-	adv
матерски.x.2	ма́терски	x	-	-	adv	a	-	-	-	P:-	adv
медленнѡ.x.2	ме́дленнѡ	x	-	-	adv	a	-	-	-	P:-	adv
междꙋ.x.2	междꙋ̀	x	-	-	prep	a	gov=ins|gen;pros=procl	-	word=ме́ждꙋ	P:-	pr
менѣе.x.2	ме́нѣе	x	-	-	adv	a	-	-	-	P:-	adv; comp
мертвеннѣ.x.2	ме́ртвеннѣ	x	-	-	adv	a	-	-	-	P:-	adv
мертволѣпнѡ.x.2	мертволѣ́пнѡ	x	-	-	adv	a	-	-	-	P:-	adv
мимоходительнѣ.x.2	мимоходи́тельнѣ	x	-	-	adv	a	-	-	-	P:-	adv
мимоходнѡ.x.2	мимохо́днѡ	x	-	-	adv	a	-	-	-	P:-	adv
мимошественнѣ.x.2	мимоше́ственнѣ	x	-	-	adv	a	-	-	-	P:-	adv
мимѡ.x.2	ми́мѡ	x	-	-	adv	a	-	-	word=ми́мо	P:-	adv
мироподательнѣ.x.2	миропода́тельнѣ	x	-	-	adv	a	-	-	-	P:-	adv
мнителнѣ.x.2	мни́телнѣ	x	-	-	adv	a	-	-	-	P:-	adv
многажды.x.2	мно́гажды	x	-	-	adv	a	-	-	word=многа́жды	P:-	adv
многащи.x.2	мно́гащи	x	-	-	adv	a	-	-	-	P:-	adv
многобразнѣ.x.2	многобра́знѣ	x	-	-	adv	a	-	-	-	P:-	adv
многогꙋбѡ.x.2	многогꙋ́бѡ	x	-	-	adv	a	-	-	-	P:-	adv
многоденственнѣ.x.2	многоде́нственнѣ	x	-	-	adv	a	-	-	-	P:-	adv
многомножае.x.2	многомно́жае	x	-	-	adv	a	-	-	-	P:-	adv
многомꙋдреннѡ.x.2	многомꙋ́дреннѡ	x	-	-	adv	a	-	-	-	P:-	adv
многомꙋдреннѣ.x.2	многомꙋ́дреннѣ	x	-	-	adv	a	-	-	-	P:-	adv
многораннѡ.x.2	многора́ннѡ	x	-	-	adv	a	-	-	-	P:-	adv
многшекратнѣ.x.2	многшекра́тнѣ	x	-	-	adv	a	-	-	-	P:-	adv
многꙋсерднѣ.x.2	многꙋсе́рднѣ	x	-	-	adv	a	-	-	-	P:-	adv
множественнѣ.x.2	мно́жественнѣ	x	-	-	adv	a	-	-	-	P:-	adv
множицею.x.2	мно́жицею	x	-	-	adv	a	-	-	-	P:-	adv
мнѣе.x.2	мнѣ́е	x	-	-	adv	a	-	-	-	P:-	adv; comp
молитвеннѡ.x.2	моли́твеннѡ	x	-	-	adv	a	-	-	-	P:-	adv
молитвеннѣ.x.2	моли́твеннѣ	x	-	-	adv	a	-	-	-	P:-	adv
молніевиднѡ.x.2	молнїеви́днѡ	x	-	-	adv	a	-	-	-	P:-	adv
молчаливнѣ.x.2	молчали́внѣ	x	-	-	adv	a	-	-	-	P:-	adv
монашески.x.2	мона́шески	x	-	-	adv	a	-	-	-	P:-	adv
мысленнѡ.x.2	мы́сленнѡ	x	-	-	adv	a	-	-	-	P:-	adv
мысленнѣ.x.2	мы́сленнѣ	x	-	-	adv	a	-	-	word=мы́сленѣ	P:-	adv
мытарски.x.2	мыта́рски	x	-	-	adv	a	-	-	-	P:-	adv
мірски.x.2	мі́рски	x	-	-	adv	a	-	-	-	P:-	adv
мѡѵсейски.x.2	мѡѵсе́йски	x	-	-	adv	a	-	-	-	P:-	adv
мꙋдреннѡ.x.2	мꙋ́дреннѡ	x	-	-	adv	a	-	-	-	P:-	adv
мꙋдреннѣ.x.2	мꙋ́дреннѣ	x	-	-	adv	a	-	-	-	P:-	adv
мꙋдрственнѡ.x.2	мꙋ́дрственнѡ	x	-	-	adv	a	-	-	-	P:-	adv
мꙋжемꙋдреннѡ.x.2	мꙋжемꙋ́дреннѡ	x	-	-	adv	a	-	-	-	P:-	adv
мꙋжемꙋдреннѣ.x.2	мꙋжемꙋ́дреннѣ	x	-	-	adv	a	-	-	-	P:-	adv
мꙋжески.x.2	мꙋ́жески	x	-	-	adv	a	-	-	-	P:-	adv
мꙋжественнѡ.x.2	мꙋ́жественнѡ	x	-	-	adv	a	-	-	-	P:-	adv
мꙋжественнѣ.x.2	мꙋ́жественнѣ	x	-	-	adv	a	-	-	-	P:-	adv
мꙋченически.x.2	мꙋ́ченически	x	-	-	adv	a	-	-	-	P:-	adv
на.x.2	на	x	-	-	prep	-	gov=acc|loc;pros=procl	-	-	P:-	pr
на.x.4	на̀	x	-	-	prep	a	gov=acc|loc;pros=procl	-	-	P:-	pr
навсегда.x.2	навсегда̀	x	-	-	adv	a	-	-	-	P:-	adv
навѣки.x.2	навѣ́ки	x	-	-	adv	a	-	-	-	P:-	adv
надвое.x.2	на́двое	x	-	-	adv	a	-	-	-	P:-	adv
надолзѣ.x.2	надо́лзѣ	x	-	-	adv	a	-	-	-	P:-	adv
надъ.x.2	надъ	x	-	-	prep	-	gov=ins|acc;pros=procl	-	word=на́дъ|надо	P:-	pr
наединѣ.x.2	наединѣ̀	x	-	-	adv	a	-	-	word=наєди́нѣ	P:-	adv
наединѣ.x.4	наеди́нѣ	x	-	-	adv	a	-	-	-	P:-	adv
назавистнѡ.x.2	назави́стнѡ	x	-	-	adv	a	-	-	-	P:-	adv
назадъ.x.2	наза́дъ	x	-	-	adv	a	-	-	-	P:-	adv
наиболѣе.x.2	наибо́лѣе	x	-	-	adv	a	-	-	-	P:-	adv; comp
наизꙋсть.x.2	наизꙋ́сть	x	-	-	adv	a	-	-	-	P:-	adv
наиначе.x.2	наина́че	x	-	-	adv	a	-	-	-	P:-	adv
наипаче.x.2	наипа́че	x	-	-	adv	a	-	-	word=наи́паче	P:-	adv
наичастѣе.x.2	наича́стѣе	x	-	-	adv	a	-	-	-	P:-	adv; comp
