source_row	lemma	class	class_four_basic_stem
1109	грѣти	4v	-
1120	дыхати	7	-
1130	дѣꙗти	3	-
1136	довести	4c	довед
1143	дозьрѣти	2	-
1146	доити	1	-
1151	грѧсти	4c	грѧд
1154	губити	1	-
1159	даꙗти	3	-
1160	давити	1	-
1164	дарити	1	-
1166	даровати	6	-
1168	дарьствовати	6	-
1171	двиѕати	7	-
1172	двигнѫти	5	-
1182	десити	1	-
1191	дивити	1	-
1214	доконьчати	7	-
1221	домыслити	1	-
1222	донести	4c	донес
1223	допасти	4c	допад
1224	досаждати	7	-
1227	досадити	1	-
1230	достоꙗти	2	-
1235	доходити	1	-
1242	дробити	1	-
1254	дрьжати	2	-
1255	дрьзати	7	-
1256	дрьзнѫти	5	-
1258	дрьзовати	6	-
1267	дрѧселовати	6	-
1271	дунѫти	5	-
1281	дъждити	1	-
1293	дѣиствовати	6	-
1297	дѣлати	7	-
1299	дѣлити	1	-
1307	жалити	1	-
1308	жаловати	6	-
1313	желати	7	-
1318	желѣти	7	-
1320	женити	1	-
1323	знаменавати	7	-
1324	знаменати	7	-
1327	знаменовати	6	-
1329	знати	4v	-
1340	зълобити	1	-
1341	зълобовати	6	-
1348	живл҄ꙗти	7	-
1349	живити	1	-
1369	жласти	4c	жлад
1390	жѧдати	3	-
1392	жѧдѣти	2	-
1404	заблѫдити	1	-
1407	забъдѣти	2	-
1408	забывати	7	-
1414	завидѣти	2	-
1422	завѣщавати	7	-
1423	завѣщати	7	-
1424	завѧзати	3	-
1425	заглаждати	7	-
1426	загладити	1	-
1427	заградити	1	-
1429	задльжити	1	-
1430	задушити	1	-
1431	задъхнѫти	5	-
1432	задѣꙗти	3	-
1435	зажиѕати	7	-
1436	зазирати	7	-
1437	зазнаменати	7	-
1440	зазьрѣти	2	-
1444	закл҄ючити	1	-
1445	закалати	7	-
1448	заклинати	7	-
1455	закрывати	7	-
1459	заложити	1	-
1460	замазати	3	-
1461	заматорѣти	7	-
1462	замѫдити	1	-
1463	заморити	1	-
1470	запалити	1	-
1471	запечатьлѣти	7	-
1472	запинати	7	-
1474	заповѣдати	7	-
1477	запрѣтити	1	-
1478	запрѣщати	7	-
1480	запустѣти	7	-
1484	заразити	1	-
1490	застѫпати	7	-
1491	застѫпити	1	-
1494	застоꙗти	2	-
1495	засъвѣдѣтел҄ьствовати	6	-
1497	затвар҄ꙗти	7	-
1499	затворити	1	-
1501	затъкнѫти	5	-
1502	затыкати	7	-
1506	заушити	1	-
1507	заходити	1	-
1509	зацѣдити	1	-
1510	зачинати	7	-
