# coherence-baseline.tsv — projection-coherence gate baseline
# (docs/UNIFIED_IDENTITY.md, gate section). Full enumeration over the
# identity table; match counts must never regress.
# generated-by: cargo xtask unified-identity
abstract_key	ocs_cells	ocs_matched	synodal_cells	synodal_matched
noun:риза	21	20	8	8
noun:римъ	7	4	0	0
noun:рогъ	21	13	0	0
noun:родъ	21	13	12	10
noun:розга	21	4	0	0
noun:рука	21	17	20	15
noun:рѣка	21	14	5	3
noun:рѣчь	26	12	0	0
noun:рѧдъ	21	14	0	0
noun:садъ	39	24	0	0
noun:сапогъ	21	14	0	0
noun:сваръ	21	14	0	0
noun:свекры	22	18	0	0
noun:свобода	21	14	0	0
noun:свѣтило	21	12	2	2
noun:свѣтильникъ	21	10	1	1
noun:свѣтъ	21	13	2	2
noun:свѧтилище	21	12	4	4
noun:свѧтитель	23	0	0	0
noun:село	21	21	13	13
noun:сестра	21	16	4	4
noun:сила	21	19	11	11
noun:сионъ	7	4	0	0
noun:сирота	21	15	0	0
noun:скотъ	21	18	3	3
noun:скрижаль	26	11	1	1
noun:скръбь	26	0	3	0
noun:слава	21	15	7	7
noun:сладость	26	14	1	1
noun:слово	21	12	17	10
noun:слъньце	21	0	4	0
noun:сльза	21	10	4	4
noun:слѣдъ	21	12	0	0
noun:смрадъ	21	7	0	0
noun:смѣхъ	21	14	0	0
noun:снопъ	21	9	0	0
noun:снѣгъ	21	14	0	0
noun:солило	21	3	0	0
noun:соль	26	12	0	0
noun:сонмище	21	17	0	0
noun:сонмъ	21	19	0	0
noun:сосудъ	21	18	6	5
noun:спасъ	21	6	0	0
noun:срамота	21	14	5	5
noun:срамъ	21	12	0	0
noun:срѣда	7	0	2	0
noun:ставъ	21	3	0	0
noun:стадо	21	19	5	5
noun:станъ	21	14	0	0
noun:старость	26	12	2	2
noun:старьць	23	9	5	3
noun:стегно	21	18	0	0
noun:стлъпъ	21	0	4	0
noun:стопа	21	15	1	1
noun:стражба	21	15	0	0
noun:страна	21	19	8	8
noun:страсть	26	15	0	0
noun:страхъ	21	15	3	3
noun:строитель	21	17	0	0
noun:строительство	21	7	0	0
noun:стрѣла	21	12	1	1
noun:стѣна	21	21	8	8
noun:съборъ	21	15	1	1
noun:съвѣдѣтельство	21	0	1	0
noun:съкровище	21	17	1	1
noun:съмрьть	26	0	4	0
noun:сънѣдь	26	13	1	1
noun:сьребро	21	16	3	3
noun:сѣверъ	7	5	2	2
noun:сѣно	21	14	0	0
noun:сѣнь	26	13	3	3
noun:сѣть	26	13	3	3
noun:сѣчиво	21	5	0	0
noun:тать	26	14	0	0
noun:тварь	26	14	0	0
noun:тврьдь	26	0	1	0
noun:тельць	21	8	4	4
noun:тишина	21	9	0	0
noun:точило	21	9	0	0
noun:трава	21	15	1	1
noun:трепетъ	21	6	0	0
noun:трупъ	21	8	0	0
noun:трусъ	21	15	0	0
noun:тьма	21	18	7	7
noun:тьмьница	21	5	1	1
noun:тѣло	21	12	4	2
noun:тѧгость	26	12	0	0
noun:удъ	21	10	0	0
noun:умъ	21	12	4	4
noun:уста	7	7	9	9
noun:утро	21	14	3	3
noun:ухо	24	16	2	2
noun:фараонъ	21	16	7	7
noun:хвала	21	16	5	5
noun:хвостъ	21	3	0	0
noun:хлъмъ	21	0	3	0
noun:хлѣбъ	21	18	4	3
noun:храмина	21	16	5	5
noun:храмъ	21	16	5	5
noun:хранилище	21	16	0	0
noun:хранитель	23	8	0	0
noun:царь	23	12	14	9
noun:цвѣтъ	21	16	0	0
noun:цѣна	21	14	1	1
noun:часъ	21	16	1	1
noun:чаша	21	10	1	1
noun:чело	21	8	0	0
noun:честь	26	13	2	2
noun:чинъ	21	13	3	3
noun:число	21	16	3	3
noun:чрѣво	21	0	3	0
noun:чудо	21	10	0	0
noun:чѧдо	21	0	1	0
noun:широта	21	14	1	1
noun:щедрота	21	9	4	4
noun:щитъ	21	12	3	3
noun:югъ	21	13	1	1
noun:юность	26	12	1	1
noun:юноша	21	16	0	0
noun:ѕвѣзда	21	16	0	0
noun:ѧдъ	21	10	0	0
noun:ѧдь	26	13	0	0
noun:ѧзва	21	17	2	2
noun:ѧзыкъ	23	15	13	9
noun:ѧрость	26	13	4	1
noun:ѧрьмъ	21	10	1	1
noun:ѳома	21	9	0	0
num:девѧть	7	6	0	0
num:десѧть	26	16	4	4
num:осмь	7	6	2	2
num:пѧть	7	6	2	2
num:седмь	7	6	1	1
num:шесть	7	6	2	2
pron:азъ	42	38	26	26
pron:и	55	50	14	0
pron:иже	54	44	50	30
pron:кто	6	4	7	5
pron:никто	6	2	0	0
pron:онъ	54	48	78	28
pron:свои	96	86	0	0
pron:сѧ	18	18	0	0
pron:твои	96	86	0	0
pron:ты	42	38	28	28
verb:бити	11	2	0	0
verb:благословити	43	17	3	3
verb:блюсти	11	1	0	0
verb:быти	66	42	90	32
verb:бѣгати	11	1	0	0
verb:бѣжати	11	3	3	0
verb:видѣти	42	25	15	5
verb:витати	11	1	0	0
verb:владѣти	42	2	0	0
verb:внити	40	15	5	2
verb:водити	11	3	0	0
verb:возвратити	11	3	2	1
verb:вознести	42	13	0	0
verb:въврѣщи	11	0	2	0
verb:възити	40	2	2	0
verb:възлюбити	43	17	1	1
verb:възѧти	42	17	11	7
verb:въпросити	11	4	2	0
verb:въстати	40	12	3	1
verb:въсхотѣти	42	10	1	0
verb:вѣровати	11	3	3	0
verb:глаголати	11	6	21	1
verb:грѧсти	11	0	0	0
verb:даѧти	11	2	2	0
verb:довьлѣти	11	1	2	1
verb:достоѧти	40	3	2	1
verb:дѣлати	11	1	0	0
verb:жити	40	19	7	4
verb:жрьти	42	8	1	0
verb:заклати	11	1	2	0
verb:запрѣтити	43	0	1	0
verb:знати	11	3	0	0
verb:избавити	43	14	6	6
verb:избити	11	2	2	0
verb:избьрати	11	2	3	1
verb:изити	39	0	7	0
verb:изнемощи	11	1	1	0
verb:изнести	42	11	1	0
verb:имати	11	2	23	1
verb:имѣти	11	7	34	1
verb:искати	11	2	5	0
verb:испльнити	11	0	4	0
verb:исправити	11	3	0	0
verb:исходити	41	14	3	2
verb:исцѣлити	11	3	2	0
verb:ити	40	13	16	9
verb:кадити	11	6	0	0
verb:клеветати	11	2	0	0
verb:клѧти	11	1	0	0
verb:лежати	11	3	0	0
verb:любити	43	23	4	4
verb:молити	11	3	5	0
verb:мощи	11	2	6	0
verb:напасти	42	4	2	0
verb:написати	11	2	5	0
verb:нарещи	42	13	2	0
verb:наслѣдити	43	13	3	2
verb:начѧти	42	10	2	1
verb:ненавидѣти	42	11	2	1
verb:нести	42	21	9	6
verb:носити	11	9	0	0
verb:обладати	11	1	1	0
verb:обратити	11	3	4	1
verb:обрѣсти	11	1	9	0
verb:орати	11	6	0	0
verb:оставити	43	23	11	9
verb:отити	40	16	2	0
verb:отпасти	42	8	0	0
verb:отпустити	11	6	3	1
verb:отъвратити	11	4	2	0
verb:отъврѣсти	11	0	1	0
verb:отъвѣщати	11	3	4	0
verb:отѧти	42	7	2	0
verb:писати	11	2	0	0
verb:пити	11	7	1	0
verb:плакати	11	2	0	0
verb:побити	11	2	0	0
verb:побѣдити	43	11	1	1
verb:повелѣти	42	9	4	1
verb:погрети	42	8	2	1
verb:подобати	11	1	3	1
verb:пожити	40	11	2	0
verb:познати	11	5	7	0
verb:поити	40	6	1	0
verb:показати	11	2	1	0
verb:помиловати	11	2	2	0
verb:понести	11	5	0	0
verb:послушати	11	6	2	0
verb:поставити	11	4	6	1
verb:посълати	11	2	11	2
verb:почити	11	2	2	0
verb:преити	40	4	0	0
verb:принести	42	16	4	1
verb:прити	40	6	2	2
verb:проити	40	6	1	0
verb:проклѧти	11	2	1	1
verb:просвѣтити	11	2	0	0
verb:просити	11	6	5	0
verb:прочисти	11	0	1	0
verb:прѣити	40	0	1	0
verb:прѣльстити	11	0	1	0
verb:пьсати	11	0	3	0
verb:пѣти	11	1	0	0
verb:работати	11	5	0	0
verb:раждати	11	4	0	0
verb:раздѣлити	43	13	2	1
verb:разорити	11	3	2	0
verb:разумѣти	11	3	5	1
verb:рещи	42	18	22	9
verb:родити	10	5	4	0
verb:свѣтити	11	8	0	0
verb:свѧтити	11	1	0	0
verb:слышати	42	24	0	0
verb:собрати	11	2	4	1
verb:стати	40	16	8	4
verb:стоѧти	40	17	5	2
verb:стрѣщи	11	0	1	0
verb:съзьдати	11	5	5	1
verb:сънити	40	12	2	0
verb:сърѣсти	11	1	1	0
verb:съхранити	11	3	4	1
verb:сѣдѣти	40	15	4	2
verb:сѣсти	40	14	3	1
verb:сѣщи	42	2	0	0
verb:творити	43	23	16	12
verb:тещи	40	10	1	0
verb:убити	11	6	0	0
verb:узрѣти	42	12	3	3
verb:хвалити	43	16	1	1
verb:ходити	41	20	8	6
verb:хотѣти	42	17	7	5
verb:хранити	11	4	1	1
verb:цѣлити	43	4	0	0
