source_id	artifact_id	transport	url	path	sha256	size_bytes	format	signature	content_types
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p045.htm	direct	https://www.ponomar.net/files/gama2/p045.htm	downloads/alypy-grammar/p045.htm	f395a165a82abdf0ef0da4d1a2bb78221fe0f7cbaed93b17f92798238cb784e5	4025	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p046.htm	direct	https://www.ponomar.net/files/gama2/p046.htm	downloads/alypy-grammar/p046.htm	ed7ce726acde56af775864178c105be9467383cbd19fc7a5613070dbff2153d6	9815	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p047.htm	direct	https://www.ponomar.net/files/gama2/p047.htm	downloads/alypy-grammar/p047.htm	96b6a80e82eb0f909ae239bed117eed123a6b0edeafadbe42a6a3e365abed221	21876	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p048.htm	direct	https://www.ponomar.net/files/gama2/p048.htm	downloads/alypy-grammar/p048.htm	aa2c6f575eac394f5b8a7792a2c344c72747a24a2321a4858526ca762fe99a7f	26421	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p048app.htm	direct	https://www.ponomar.net/files/gama2/p048app.htm	downloads/alypy-grammar/p048app.htm	dd3c6c5c64ce4cd39749e14f2a9000816dd72049beed9401b4023118fee66a0b	4673	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p049.htm	direct	https://www.ponomar.net/files/gama2/p049.htm	downloads/alypy-grammar/p049.htm	81a848dd7fbaf7ff6ee42134ed4b39215ff8f9ce9e20332602f1b825bc364546	8453	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p050-051.htm	direct	https://www.ponomar.net/files/gama2/p050-051.htm	downloads/alypy-grammar/p050-051.htm	86245617f60f01e91425d4c1d9d0c2366588fa2b815c23c08f1aa9ceb335aef7	6669	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p052.htm	direct	https://www.ponomar.net/files/gama2/p052.htm	downloads/alypy-grammar/p052.htm	a5c0181a661ab71565243e3e1ad1fec92cc49416b73e177f755bbff8740a61cd	5115	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p053.htm	direct	https://www.ponomar.net/files/gama2/p053.htm	downloads/alypy-grammar/p053.htm	68c82d6127d1d56799d5f1b2931ffcba7a1a8174d2d73b5147f5fe2f9277b373	9317	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p054.htm	direct	https://www.ponomar.net/files/gama2/p054.htm	downloads/alypy-grammar/p054.htm	4010aaf003371731acc7c9cf0058b493b21c21b8823a17a55ccf05015cfbd6f5	1970	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p055.htm	direct	https://www.ponomar.net/files/gama2/p055.htm	downloads/alypy-grammar/p055.htm	4cb704ddb997c1080e523dbdb9d9063381e894ffca7d27a33425fba368c80409	3038	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p056.htm	direct	https://www.ponomar.net/files/gama2/p056.htm	downloads/alypy-grammar/p056.htm	2182de6f430466e59bfd88c745637f4133667a05af53e0fe58e2d7fae16ef9c8	6500	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p057.htm	direct	https://www.ponomar.net/files/gama2/p057.htm	downloads/alypy-grammar/p057.htm	8b778c898222e82bf45f50c965300d5c8def824a8adf714e01b0d27ced623473	17738	html	html	-
alypy-gamanovich-grammar-web-2023	alypy-gamanovich-grammar-web-2023:p058.htm	direct	https://www.ponomar.net/files/gama2/p058.htm	downloads/alypy-grammar/p058.htm	3ad4518a78fe266e9d5e90fb2caeca738c8e6a49bb93d78fd1c02799f75119ff	12880	html	html	-
