normalized_type	corpus_frequency	selector
возсїѧти	6	sha256-mod-20
воинственный	2	sha256-mod-20
воинствꙋ	20	sha256-mod-20
волнꙋющасѧ	2	sha256-mod-20
волхвовати	4	sha256-mod-20
волшебница	2	sha256-mod-20
вонзе	11	sha256-mod-20
вонзетсѧ	2	sha256-mod-20
вопрошахꙋ	38	sha256-mod-20
вопрошающе	6	sha256-mod-20
вопрошенїи	2	sha256-mod-20
вопїющаго	1	sha256-mod-20
вопїюще	11	sha256-mod-20
воскликновенїѧ	2	sha256-mod-20
восклонитесѧ	2	sha256-mod-20
воскреснемъ	2	sha256-mod-20
восорова	2	sha256-mod-20
воспитаетъ	2	sha256-mod-20
воспитанными	2	sha256-mod-20
восплачитесѧ	4	sha256-mod-20
воспоминанїе	18	sha256-mod-20
воспретилъ	4	sha256-mod-20
воспротивитесѧ	4	sha256-mod-20
воспрїѧвъ	2	sha256-mod-20
воставай	2	sha256-mod-20
востаста	8	sha256-mod-20
востающымъ	8	sha256-mod-20
востокꙋ	39	sha256-mod-20
восточна	2	sha256-mod-20
восточнїи	2	sha256-mod-20
восхитилъ	2	sha256-mod-20
восходити	13	sha256-mod-20
восхожденїѧ	4	sha256-mod-20
восхотѣлъ	16	sha256-mod-20
воюютъ	12	sha256-mod-20
воєвъ	33	sha256-mod-20
воѡбраженїе	2	sha256-mod-20
воѡрꙋженъ	4	sha256-mod-20
воѡрꙋжите	2	sha256-mod-20
впадай	2	sha256-mod-20
впадетсѧ	9	sha256-mod-20
впадꙋ	10	sha256-mod-20
врага	78	sha256-mod-20
врагами	6	sha256-mod-20
вражахꙋ	2	sha256-mod-20
враждебнѡ	2	sha256-mod-20
вражїѧ	14	sha256-mod-20
врачба	2	sha256-mod-20
врачꙋемїи	2	sha256-mod-20
вре	1	sha256-mod-20
вредитъ	8	sha256-mod-20
всадисте	2	sha256-mod-20
всегдашнее	10	sha256-mod-20
всегꙋбителїе	2	sha256-mod-20
всесильнагѡ	2	sha256-mod-20
всесильный	4	sha256-mod-20
вслѣдствꙋющїи	2	sha256-mod-20
всѣдъ	8	sha256-mod-20
всѣѧ	4	sha256-mod-20
всѧкꙋ	147	sha256-mod-20
всѧчєскимъ	4	sha256-mod-20
входити	52	sha256-mod-20
входитъ	31	sha256-mod-20
вхождастѣ	2	sha256-mod-20
вхождахꙋ	28	sha256-mod-20
вчинєнны	4	sha256-mod-20
вчинєннымъ	2	sha256-mod-20
высоцѣмъ	6	sha256-mod-20
вышеписанныхъ	2	sha256-mod-20
вышнѧгѡ	146	sha256-mod-20
вінное	4	sha256-mod-20
вїнопійца	6	sha256-mod-20
вѣдахъ	4	sha256-mod-20
вѣдаше	3	sha256-mod-20
вѣдѣнїе	20	sha256-mod-20
вѣдѧхомъ	2	sha256-mod-20
вѣдѧщихъ	4	sha256-mod-20
вѣдѧщїи	12	sha256-mod-20
вѣетъ	3	sha256-mod-20
вѣжди	6	sha256-mod-20
вѣнча	2	sha256-mod-20
вѣрный	25	sha256-mod-20
вѣрныхъ	10	sha256-mod-20
вѣровалъ	6	sha256-mod-20
вѣрꙋете	34	sha256-mod-20
вѣрꙋетъ	14	sha256-mod-20
вѣрꙋюще	14	sha256-mod-20
вѣстїю	2	sha256-mod-20
вѣсꙋ	6	sha256-mod-20
вѣтвехъ	6	sha256-mod-20
вѣтвїѧ	8	sha256-mod-20
вѣчною	6	sha256-mod-20
вѣчнѣ	2	sha256-mod-20
вѣщаѧ	2	sha256-mod-20
вѷссѡна	1	sha256-mod-20
гаваилъ	2	sha256-mod-20
гаддіискꙋ	1	sha256-mod-20
гадовыхъ	26	sha256-mod-20
газерска	2	sha256-mod-20
газерѣ	10	sha256-mod-20
газѣ	6	sha256-mod-20
галаадовы	12	sha256-mod-20
галаадъ	40	sha256-mod-20
галаадітїдꙋ	5	sha256-mod-20
галаадітѡвъ	4	sha256-mod-20
галаадꙋ	4	sha256-mod-20
галгалѣхъ	28	sha256-mod-20
галїлеи	82	sha256-mod-20
гаргасінскихъ	2	sha256-mod-20
гармій	2	sha256-mod-20
гаю	8	sha256-mod-20
гдѣ	280	sha256-mod-20
гдⷭа	9	sha256-mod-20
гдⷭемъ	4	sha256-mod-20
гдⷭни	4	sha256-mod-20
гдⷭ҇ней	3	sha256-mod-20
гевалъ	12	sha256-mod-20
геенны	6	sha256-mod-20
гееннѣ	4	sha256-mod-20
гераръ	2	sha256-mod-20
гесфъ	2	sha256-mod-20
геѳемъ	4	sha256-mod-20
геѳреммѡнъ	4	sha256-mod-20
геѳъ	20	sha256-mod-20
геѳѳеа	2	sha256-mod-20
гирсѡнѧ	2	sha256-mod-20
глаголахꙋ	204	sha256-mod-20
глаголемей	2	sha256-mod-20
глаголющихъ	62	sha256-mod-20
гладныхъ	6	sha256-mod-20
глинꙋ	4	sha256-mod-20
гл҃гѡланнаѧ	2	sha256-mod-20
гл҃ющь	35	sha256-mod-20
гл҃ющꙋ	16	sha256-mod-20
глꙋбоко	6	sha256-mod-20
глꙋбокѡ	2	sha256-mod-20
глꙋмлѧшесѧ	4	sha256-mod-20
гнѣваетесѧ	2	sha256-mod-20
гнѣви	2	sha256-mod-20
гнꙋсность	2	sha256-mod-20
гнꙋшаетсѧ	2	sha256-mod-20
гнꙋшаѧсѧ	2	sha256-mod-20
годѣ	6	sha256-mod-20
голенехъ	2	sha256-mod-20
гоморъ	10	sha256-mod-20
гоненїю	4	sha256-mod-20
гонивше	2	sha256-mod-20
гонителѧ	2	sha256-mod-20
гонѧщїи	24	sha256-mod-20
горлицꙋ	5	sha256-mod-20
горнїѧ	6	sha256-mod-20
горцѣ	8	sha256-mod-20
горѧщее	2	sha256-mod-20
горꙋшичнꙋ	2	sha256-mod-20
господина	200	sha256-mod-20
господствовати	10	sha256-mod-20
господїй	10	sha256-mod-20
госпѡдствїѧ	2	sha256-mod-20
гостинницꙋ	2	sha256-mod-20
готовое	4	sha256-mod-20
готовыхъ	6	sha256-mod-20
гоѳонїилевъ	2	sha256-mod-20
граднымъ	4	sha256-mod-20
градскихъ	17	sha256-mod-20
градскїѧ	6	sha256-mod-20
