key	lexeme_id	source_spellings
благодѣть	благодѣть|noun|d9e0bfecf37daa9d	canonical:"благодѣть" || page:"благодѣть"
благожитиѥ	благожитиѥ|noun|f3206d84dd181289	canonical:"благожитиѥ" || page:"благожитиѥ"
благословениѥ	благословениѥ|noun|2461035a77ab026a	canonical:"благословениѥ" || page:"благословениѥ"
благословити	благословити|verb|62db93e6a3770a91	canonical:"благословити" || page:"благословити"
благость	благость|noun|8c98d3f4fd0cb8f1	canonical:"благость" || page:"благость"
благостꙑни	благостꙑн҄и|noun|ee8d0e78d8d31c8f	page:"благостꙑни"
благостꙑн҄и	благостꙑн҄и|noun|ee8d0e78d8d31c8f	canonical:"благостꙑн҄и" || source-canonical:"благостꙑн҄и"
благоѫханиѥ	благоѫханиѥ|noun|f8fb290e934bfcbf	canonical:"благоѫханиѥ" || page:"благоѫханиѥ"
благъ	благъ|adj|8cb72df1035b975f	canonical:"благъ" || page:"благъ"
блаженикъ	блаженикъ|noun|08fe98e6eab7e15c	canonical:"блаженикъ" || page:"блаженикъ"
блаженъ	блаженъ|adj|35918ee8acfd8424	canonical:"блаженъ" || page:"блаженъ"
блаженьство	блаженьство|noun|8c2bd532fc5f30c5	canonical:"блаженьство" || page:"блаженьство"
блажити	блажити|verb|4cf52a032983ed8f	canonical:"блажити" || page:"блажити"
блазна	блазна|noun|329763f1fa2fc8d9	canonical:"блазна" || page:"блазна"
блазнити	блазнити|verb|3e54e5d471162975	canonical:"блазнити" || page:"блазнити"
блазнъ	блазна|noun|329763f1fa2fc8d9	alternative:"блазнъ"
блато	блато|noun|4486cee168490c8a	canonical:"блато" || page:"блато"
блатьньскъ	блатьньскъ|adj|bd641e7f33ebe185	canonical:"блатьньскъ" || page:"блатьньскъ"
ближика	ближика|noun|bc1abb2e267bf386	canonical:"ближика" || page:"ближика"
близньць	близньць|noun|1e2250d09441ffc4	canonical:"близньць" || page:"близньць"
блискъ	блискъ|noun|dd1f3687ea540e76	canonical:"блискъ" || page:"блискъ"
блъгаринъ	блъгаринъ|noun|94c9dbd0dee474c5	canonical:"блъгаринъ" || page:"блъгаринъ"
бльвати	бльвати|verb|ea0262853fccb4aa	canonical:"бльвати" || page:"бльвати"
бльвотина	бл҄ьвотина|noun|51c55328a0ffe550	page:"бльвотина"
блюдо	блюдъ|noun|6cdfe51d294fd5fb	alternative:"блюдо"
блюдъ	блюдъ|noun|6cdfe51d294fd5fb	canonical:"блюдъ" || page:"блюдъ"
блюсти	блюсти|verb|34145a67a5b25134	canonical:"блюсти" || page:"блюсти"
блѣдъ	блѣдъ|adj|635ecf0a4aba7025	canonical:"блѣдъ" || page:"блѣдъ"
блѣдѣти	блѣдѣти|verb|8ce72b8ada6344a8	canonical:"блѣдѣти" || page:"блѣдѣти"
блѧдь	блѧдь|noun|3d26ddbb3a49c00d	canonical:"блѧдь" || page:"блѧдь"
блѧдь	блѧдь|noun|e03a93e35d948f85	canonical:"блѧдь" || page:"блѧдь"
блѧдьникъ	блѧдьникъ|noun|c9faba994471e984	canonical:"блѧдьникъ" || page:"блѧдьникъ"
блѧсти	блѧсти|verb|682dc9d2de7c8e1b	canonical:"блѧсти" || page:"блѧсти"
блѫдилище	блѫдилищѥ|noun|41e3b2e8113473cf	page:"блѫдилище"
блѫдилищѥ	блѫдилищѥ|noun|41e3b2e8113473cf	canonical:"блѫдилищѥ"
блѫдити	блѫдити|verb|19a15ec40076495d	canonical:"блѫдити" || page:"блѫдити"
блѫдъ	блѫдъ|noun|9faa600ffd86cfd7	canonical:"блѫдъ" || page:"блѫдъ"
блѫдьникъ	блѫдьникъ|noun|e7d2d0053500777f	canonical:"блѫдьникъ" || page:"блѫдьникъ"
блѫдьница	блѫдьница|noun|8829226d13433fd7	canonical:"блѫдьница" || page:"блѫдьница"
блѫдьничьство	блѫдьничьство|noun|49ccf3e728299409	canonical:"блѫдьничьство" || page:"блѫдьничьство"
блѫдьнъ	блѫдьнъ|adj|11bd355787120dff	canonical:"блѫдьнъ" || page:"блѫдьнъ"
бл҄ьвотина	бл҄ьвотина|noun|51c55328a0ffe550	canonical:"бл҄ьвотина" || source-canonical:"бл҄ьвотина"
богатъ	богатъ|adj|bfad9b6766b803ad	canonical:"богатъ" || page:"богатъ"
богатьствиѥ	богатьствиѥ|noun|4681edc9516cce04	canonical:"богатьствиѥ" || page:"богатьствиѥ"
богатьство	богатьство|noun|31094b20bdff79f8	canonical:"богатьство" || page:"богатьство"
богоборьць	богоборьць|noun|2b3e57ff6b6302af	canonical:"богоборьць" || page:"богоборьць"
боговидьць	боговидьць|noun|cfc0406a90a1b0e5	canonical:"боговидьць" || page:"боговидьць"
боголюбьць	боголюбьць|noun|3935789961035502	canonical:"боголюбьць" || page:"боголюбьць"
богоносьцъ	богоносьцъ|noun|f28aaec83cfa3d45	canonical:"богоносьцъ"
богоносьць	богоносьцъ|noun|f28aaec83cfa3d45	page:"богоносьць"
