id	lemma	page_word	key	pos	class	raw_class	gender	animacy	number_restriction	head_templates	signature
пищꙗ|noun|802a723586d06fe6	пищꙗ	пища	пищꙗ	noun	ja-soft	a-stem	f			[{"name":"head","args":{"1":"cu","2":"noun","g":"f","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"f"}}]	802a723586d06fe6
пиꙗница|noun|64eb1ca98f8ad2b7	пиꙗница	пиꙗница	пиꙗница	noun	raw:a-stem	a-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	64eb1ca98f8ad2b7
пиꙗнъ|adj|7c856bf73c00ebf7	пиꙗнъ	пиꙗнъ	пиꙗнъ	adj	adj-hard					[{"name":"head","args":{"1":"cu","10":"","11":"","12":"","13":"","14":"","15":"","16":"","17":"","18":"","19":"","2":"adjective","20":"","21":"","22":"","3":"","4":"","5":"","6":"","7":"","8":"","9":"","head":"","sc":"","tr":""}},{"name":"cu-adj","args":{}}]	7c856bf73c00ebf7
пиꙗньствиѥ|noun|61ec87652dc582b1	пиꙗньствиѥ	пиꙗньствьѥ	пиꙗньствиѥ	noun	jo-n-soft	o-stem	n			[{"name":"head","args":{"1":"cu","2":"noun","g":"n","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"n"}}]	61ec87652dc582b1
пиꙗньство|noun|25746a28a5cbbc36	пиꙗньство	пиꙗньство	пиꙗньство	noun	o-n-hard	o-stem	n			[{"name":"head","args":{"1":"cu","2":"noun","g":"n","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"n"}}]	25746a28a5cbbc36
плавати|verb|9ee53b7c2dd5cc9a	плавати	плавати	плавати	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"impf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"impf"}}]	9ee53b7c2dd5cc9a
плавъ|adj|0aaca9062c25005b	плавъ	плавъ	плавъ	adj	adj-hard					[{"name":"head","args":{"1":"cu","10":"","11":"","12":"","13":"","14":"","15":"","16":"","17":"","18":"","19":"","2":"adjective","20":"","21":"","22":"","3":"","4":"","5":"","6":"","7":"","8":"","9":"","head":"","sc":"","tr":""}},{"name":"cu-adj","args":{}}]	0aaca9062c25005b
пладьниѥ|noun|506389ccbc03603c	пладьниѥ	пладьниѥ	пладьниѥ	noun	jo-n-soft	o-stem	n			[{"name":"head","args":{"1":"cu","2":"noun","g":"n","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"n"}}]	506389ccbc03603c
плаканиѥ|noun|ed81002c0d64fad6	плаканиѥ	плаканиѥ	плаканиѥ	noun	jo-n-soft	o-stem	n			[{"name":"head","args":{"1":"cu","2":"noun","g":"n","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"n"}}]	ed81002c0d64fad6
плакати|verb|057ee05e181648fd	плакати	плакати	плакати	verb						[{"name":"head","args":{"1":"cu","10":"","11":"or","12":"","13":"or","14":"","2":"verb","3":"","4":"","5":"or","6":"","7":"or","8":"","9":"","g":"impf","head":"","tr":""}},{"name":"cu-verb","args":{"1":"impf"}}]	057ee05e181648fd
пламѣнъ|adj|c34137ec519db215	пламѣнъ	пламѣнъ	пламѣнъ	adj	adj-hard					[{"name":"head","args":{"1":"cu","10":"","11":"","12":"","13":"","14":"","15":"","16":"","17":"","18":"","19":"","2":"adjective","20":"","21":"","22":"","3":"","4":"","5":"","6":"","7":"","8":"","9":"","head":"","sc":"","tr":""}},{"name":"cu-adj","args":{}}]	c34137ec519db215
пламꙑ|noun|a8bd0d64e5b79b29	пламꙑ	пламень	пламꙑ	noun	n-m	n-stem	m			[{"name":"head","args":{"1":"cu","2":"noun","g":"m","g2":"","g3":"","head":"","sc":"","tr":""}},{"name":"cu-noun","args":{"1":"m"}}]	a8bd0d64e5b79b29
