lexeme_id	feature	rank	form	romanization	source_spelling	source_tags
авазгъ|noun|7fbb7482edaf3067	noun:loc:sg	0	авазѕѣ	avazdzě	авазѕѣ	locative,singular
авазгъ|noun|7fbb7482edaf3067	noun:nom:du	0	авазга	avazga	авазга	dual,nominative
авазгъ|noun|7fbb7482edaf3067	noun:nom:pl	0	авазѕи	avazdzi	авазѕи	nominative,plural
авазгъ|noun|7fbb7482edaf3067	noun:nom:sg	0	авазгъ	avazgŭ	авазгъ	nominative,singular
авазгъ|noun|7fbb7482edaf3067	noun:voc:du	0	авазга	avazga	авазга	dual,vocative
авазгъ|noun|7fbb7482edaf3067	noun:voc:pl	0	авазѕи	avazdzi	авазѕи	plural,vocative
авазгъ|noun|7fbb7482edaf3067	noun:voc:sg	0	авазже	avazže	авазже	singular,vocative
авити|verb|8003baa455c6b112	verb:infinitive	0	авити	aviti	авити	infinitive
авити|verb|8003baa455c6b112	verb:l-participle:f:du	0	авилѣ	avilě	авилѣ	dual,feminine,l-participle
авити|verb|8003baa455c6b112	verb:l-participle:f:pl	0	авилꙑ	avily	авилꙑ	feminine,l-participle,plural
авити|verb|8003baa455c6b112	verb:l-participle:f:sg	0	авила	avila	авила	feminine,l-participle,singular
авити|verb|8003baa455c6b112	verb:l-participle:m:du	0	авила	avila	авила	dual,l-participle,masculine
авити|verb|8003baa455c6b112	verb:l-participle:m:pl	0	авили	avili	авили	l-participle,masculine,plural
авити|verb|8003baa455c6b112	verb:l-participle:m:sg	0	авилъ	avilŭ	авилъ	l-participle,masculine,singular
авити|verb|8003baa455c6b112	verb:l-participle:n:du	0	авилѣ	avilě	авилѣ	dual,l-participle,neuter
авити|verb|8003baa455c6b112	verb:l-participle:n:pl	0	авила	avila	авила	l-participle,neuter,plural
авити|verb|8003baa455c6b112	verb:l-participle:n:sg	0	авило	avilo	авило	l-participle,neuter,singular
авити|verb|8003baa455c6b112	verb:supine	0	авитъ	avitŭ	авитъ	supine
авоу́ндии|noun|a696b5a27ebf1e71	noun:acc:du	0	Авоу́ндии	Avúndii	Авоу́ндии	accusative,dual
авоу́ндии|noun|a696b5a27ebf1e71	noun:acc:pl	0	Авоу́ндиѩ	Avúndiję	Авоу́ндиѩ	accusative,plural
авоу́ндии|noun|a696b5a27ebf1e71	noun:acc:sg	0	Авоу́ндиѭ	Avúndijǫ	Авоу́ндиѭ	accusative,singular
авоу́ндии|noun|a696b5a27ebf1e71	noun:dat:du	0	Авоу́ндиꙗма	Avúndijama	Авоу́ндиꙗма	dative,dual
авоу́ндии|noun|a696b5a27ebf1e71	noun:dat:pl	0	Авоу́ндиꙗмъ	Avúndijamŭ	Авоу́ндиꙗмъ	dative,plural
авоу́ндии|noun|a696b5a27ebf1e71	noun:dat:sg	0	Авоу́ндии	Avúndii	Авоу́ндии	dative,singular
авоу́ндии|noun|a696b5a27ebf1e71	noun:gen:du	0	Авоу́ндию	Avúndiju	Авоу́ндию	dual,genitive
авоу́ндии|noun|a696b5a27ebf1e71	noun:gen:pl	0	Авоу́ндии	Avúndii	Авоу́ндии	genitive,plural
авоу́ндии|noun|a696b5a27ebf1e71	noun:gen:sg	0	Авоу́ндиѩ	Avúndiję	Авоу́ндиѩ	genitive,singular
авоу́ндии|noun|a696b5a27ebf1e71	noun:ins:du	0	Авоу́ндиꙗма	Avúndijama	Авоу́ндиꙗма	dual,instrumental
авоу́ндии|noun|a696b5a27ebf1e71	noun:ins:pl	0	Авоу́ндиꙗми	Avúndijami	Авоу́ндиꙗми	instrumental,plural
авоу́ндии|noun|a696b5a27ebf1e71	noun:ins:sg	0	Авоу́ндиѥѭ	Avúndijejǫ	Авоу́ндиѥѭ	instrumental,singular
авоу́ндии|noun|a696b5a27ebf1e71	noun:loc:du	0	Авоу́ндию	Avúndiju	Авоу́ндию	dual,locative
авоу́ндии|noun|a696b5a27ebf1e71	noun:loc:pl	0	Авоу́ндиꙗхъ	Avúndijaxŭ	Авоу́ндиꙗхъ	locative,plural
авоу́ндии|noun|a696b5a27ebf1e71	noun:loc:sg	0	Авоу́ндии	Avúndii	Авоу́ндии	locative,singular
авоу́ндии|noun|a696b5a27ebf1e71	noun:nom:du	0	Авоу́ндии	Avúndii	Авоу́ндии	dual,nominative
авоу́ндии|noun|a696b5a27ebf1e71	noun:nom:pl	0	Авоу́ндиѩ	Avúndiję	Авоу́ндиѩ	nominative,plural
авоу́ндии|noun|a696b5a27ebf1e71	noun:nom:sg	0	Авоу́ндии	Avúndii	Авоу́ндии	nominative,singular
авоу́ндии|noun|a696b5a27ebf1e71	noun:voc:du	0	Авоу́ндии	Avúndii	Авоу́ндии	dual,vocative
авоу́ндии|noun|a696b5a27ebf1e71	noun:voc:pl	0	Авоу́ндиѩ	Avúndiję	Авоу́ндиѩ	plural,vocative
авоу́ндии|noun|a696b5a27ebf1e71	noun:voc:sg	0	Авоу́ндиѥ	Avúndije	Авоу́ндиѥ	singular,vocative
автоно́мъ|noun|db89826d6f6ab492	noun:acc:du	0	Автоно́ма	Avtonóma	Автоно́ма	accusative,dual
автоно́мъ|noun|db89826d6f6ab492	noun:acc:pl	0	Автоно́мꙑ	Avtonómy	Автоно́мꙑ	accusative,plural
автоно́мъ|noun|db89826d6f6ab492	noun:acc:sg	0	Автоно́мъ	Avtonómŭ	Автоно́мъ	accusative,singular
автоно́мъ|noun|db89826d6f6ab492	noun:dat:du	0	Автоно́мома	Avtonómoma	Автоно́мома	dative,dual
автоно́мъ|noun|db89826d6f6ab492	noun:dat:pl	0	Автоно́момъ	Avtonómomŭ	Автоно́момъ	dative,plural
автоно́мъ|noun|db89826d6f6ab492	noun:dat:sg	0	Автоно́моу	Avtonómu	Автоно́моу	dative,singular
автоно́мъ|noun|db89826d6f6ab492	noun:gen:du	0	Автоно́моу	Avtonómu	Автоно́моу	dual,genitive
автоно́мъ|noun|db89826d6f6ab492	noun:gen:pl	0	Автоно́мъ	Avtonómŭ	Автоно́мъ	genitive,plural
автоно́мъ|noun|db89826d6f6ab492	noun:gen:sg	0	Автоно́ма	Avtonóma	Автоно́ма	genitive,singular
автоно́мъ|noun|db89826d6f6ab492	noun:ins:du	0	Автоно́мома	Avtonómoma	Автоно́мома	dual,instrumental
автоно́мъ|noun|db89826d6f6ab492	noun:ins:pl	0	Автоно́мꙑ	Avtonómy	Автоно́мꙑ	instrumental,plural
автоно́мъ|noun|db89826d6f6ab492	noun:ins:sg	0	Автоно́момъ	Avtonómomŭ	Автоно́момъ	instrumental,singular
автоно́мъ|noun|db89826d6f6ab492	noun:loc:du	0	Автоно́моу	Avtonómu	Автоно́моу	dual,locative
автоно́мъ|noun|db89826d6f6ab492	noun:loc:pl	0	Автоно́мѣхъ	Avtonóměxŭ	Автоно́мѣхъ	locative,plural
автоно́мъ|noun|db89826d6f6ab492	noun:loc:sg	0	Автоно́мѣ	Avtonómě	Автоно́мѣ	locative,singular
автоно́мъ|noun|db89826d6f6ab492	noun:nom:du	0	Автоно́ма	Avtonóma	Автоно́ма	dual,nominative
автоно́мъ|noun|db89826d6f6ab492	noun:nom:pl	0	Автоно́ми	Avtonómi	Автоно́ми	nominative,plural
автоно́мъ|noun|db89826d6f6ab492	noun:nom:sg	0	Автоно́мъ	Avtonómŭ	Автоно́мъ	nominative,singular
автоно́мъ|noun|db89826d6f6ab492	noun:voc:du	0	Автоно́ма	Avtonóma	Автоно́ма	dual,vocative
