id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
прокꙑи.a	прокꙑи	a	-	-	A:-:ь	a	-	long.pos.m.sg.gen=прокꙑихъ;long.pos.m.pl.gen=прокꙑихъ;long.pos.f.pl.loc=прокꙑихъ;long.pos.n.sg.acc=прокоѥ;long.pos.n.sg.loc=процѣѣмь;long.pos.m.sg.nom=прокꙑи	-	U:	-
пронꙑривъ.a	пронꙑривъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.voc=пронꙑривꙑ;long.pos.f.pl.acc=пронꙑривꙑѧ	-	U:	tie A:-k:ъ
пророчь.a	пророчь	a	-	-	A:-:ь	-	-	-	-	U:	tie A:o/a:ь
пророчьскъ.a	пророчьскъ	a	-	-	A:-:ъ	a	-	short.pos.n.sg.nom=пророчъско;short.pos.n.sg.ins=пророчьскомъ;long.pos.m.sg.loc=пророчьстѣъмъ;long.pos.n.sg.dat=пророчьскоумоу;long.pos.n.sg.ins=пророчьскꙑимъ	-	U:	tie A:-k:ъ
простовласъ.a	простовласъ	a	-	-	A:-:ъ	-	-	-	-	U:	tie A:-k:ъ
пространъ.a	пространъ	a	-	-	A:-:ъ	-	-	-	long.pos.m.sg.nom=пространъи;long.pos.m.sg.gen=пространааго;long.pos.m.sg.dat=пространоуоумоу;long.pos.m.pl.acc=пространꙑѧ;long.pos.n.sg.ins=пространꙑимъ	K:A:-:ъ;U:	tie A:-k:ъ
простъ.a	простъ	a	-	-	A:-:ъ	-	-	-	long.pos.f.sg.ins=простѫѫ;long.pos.n.sg.ins=простꙑимъ	K:A:-:ъ;U:	tie A:-k:ъ
противьнъ.a	противьнъ	a	-	-	A:-:ъ	a	-	short.pos.m.sg.nom=противенъ;long.pos.m.sg.gen=противнааго;long.pos.m.sg.dat=противъноуоумоу;long.pos.m.pl.gen=противънꙑихъ;long.pos.m.pl.acc=противънꙑѩ;long.pos.f.pl.nom=противънꙑѧ;long.pos.f.pl.dat=противънꙑимъ;long.pos.f.pl.acc=противънꙑѧ	-	U:	tie A:-k:ъ
прочь.a	прочь	a	-	-	A:o/a:ь	-	-	-	-	U:	-
пръвъ.a	пръвъ	a	-	-	A:-:ъ	a	-	long.pos.n.sg.nom=прьвоѥ;long.pos.n.sg.acc=прьвоѥ;long.pos.n.pl.gen=пръвъꙇхъ	long.pos.m.sg.nom=пръвъ|пръвъꙇ	U:	tie A:-k:ъ
прьвозьданъ.a	прьвозьданъ	a	-	-	A:-:ъ	a	-	long.pos.m.sg.gen=пръвозъданааго	-	U:	-
прьвословесьнъ.a	прьвословесьнъ	a	-	-	A:-:ъ	-	-	-	-	K:A:-:ъ	tie A:-k:ъ
