id	lemma	pos	gender	anim	class	stress	stems	overrides	variants	src	note
скрьжьтъ.n	скрьжьтъ	n	-	-	o:ъ:-	-	-	-	nom.sg=скрьжетъ|скръжетъ	K:o:ъ:-;U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
скълѧѕь.n	скълѧѕь	n	-	-	o:ь:-	a	-	voc.sg=скълѧже	acc.sg=склѧзъ	K:o:ь:-;U:	-
скърбь.n	скърбь	n	-	-	i:ь:-	a	-	dat.sg=скръби;loc.sg=скръби	loc.sg=скрьби	U:	-
скѫдость.n	скѫдость	n	-	-	i:ь:-	-	-	-	-	K:i:ь:-	tie i:и:-,i:ъ:-
скѫдьль.n	скѫдьль	n	-	-	o:ь:f	a	-	nom.sg=скѫделъ;acc.sg=скѫдель	-	U:	-
скѫдьльникъ.n	скѫдьльникъ	n	-	-	ok:ъ:-	-	-	-	gen.sg=скѫдельника	K:ok:ъ:-;U:	tie ok:ъ:m
скѫпость.n	скѫпость	n	-	-	i:ь:-	-	-	-	-	K:i:ь:-	tie i:и:-,i:ъ:-
скѵмьнъ.n	скѵмьнъ	n	-	-	o:ъ:m	a	-	nom.sg=скоумьнъ;gen.pl=скоуменъ	-	U:	-
скѵѳополь.n	скѵѳополь	n	-	-	o:ь:f	a	-	dat.sg=скоуѳополи	-	U:	-
скѵѳъ.n	скѵѳъ	n	-	-	o:ъ:-	a	-	nom.sg=скоуѳъ	-	U:	-
слабость.n	слабость	n	-	-	i:ь:-	-	-	-	-	K:i:ь:-	tie i:и:-,i:ъ:-
слава.n	слава	n	-	-	a:а:-	-	-	-	nom.sg=слав;gen.sg=славъи;dat.sg=слвѣ;ins.sg=славѫ	K:a:а:-;U:	tie a:а:f,ak:а:-,a:ь:-
славлѥниѥ.n	славлѥниѥ	n	-	-	o:ѥ:-	a	-	acc.pl=славьѥниꙗ	-	U:	-
славословиѥ.n	славословиѥ	n	-	-	o:ѥ:-	a	-	ins.sg=славословиимъ	-	U:	-
сладость.n	сладость	n	-	-	i:ь:-	-	-	-	-	K:i:ь:-	tie i:и:-,i:ъ:-
слана.n	слана	n	-	-	a:а:-	-	-	-	-	K:a:а:-	tie a:а:f,ak:а:-,a:ь:-
сланоутъкъ.n	сланоутъкъ	n	-	-	ok:ъ:m	-	-	-	-	U:	tie o:ъ:-,o:ъ:m,ok:ъ:-
сланъ.n	сланъ	n	-	-	o:ъ:m	-	-	-	-	U:	tie o:ъ:-,ok:ъ:-,ok:ъ:m
сласть.n	сласть	n	-	-	i:ь:-	-	-	-	-	K:i:ь:-	tie i:и:-,i:ъ:-
слатина.n	слатина	n	-	-	a:а:-	-	-	-	-	K:a:а:-	tie a:а:f,ak:а:-,a:ь:-
слива.n	слива	n	-	-	a:а:-	-	-	-	-	K:a:а:-	tie a:а:f,ak:а:-,a:ь:-
слина.n	слина	n	-	-	a:а:-	-	-	-	-	K:a:а:-	tie a:а:f,ak:а:-,a:ь:-
слово.n	слово	n	-	-	s:о:-	-	-	-	nom.sg=сново;nom.pl=сльвеса;gen.sg=слова|словеси;gen.pl=словесь;dat.sg=словоу;dat.pl=словесемъ|словесемь;acc.sg=слобво;ins.sg=словомъ|словомь|словесемь|словесемъ|словъмъ;ins.pl=словесъи;loc.sg=словеси;loc.pl=словесехъ|словеси	K:s:о:-;U:	-
словолюбьць.n	словолюбьць	n	-	-	o:ь:-	a	-	voc.sg=словолюбьче	dat.sg=словолюбьцеви;acc.sg=словолюбьца	K:o:ь:-	-
словописатель.n	словописатель	n	-	-	n:ь:-	-	-	-	-	U:	-
слонь.n	слонь	n	-	-	o:ь:f	-	-	-	-	K:o:ь:-	tie o:ь:m
слоужениѥ.n	слоужениѥ	n	-	-	o:ѥ:-	-	-	-	-	U:	-
слоужительница.n	слоужительница	n	-	-	a:а:-	-	-	-	-	U:	tie a:а:f,a:а:m,ak:а:-,a:ь:-,a:ꙗ:-
слоузъ.n	слоузъ	n	-	-	o:ъ:-	a	-	acc.sg=слоузь	-	U:	-
слоутиѥ.n	слоутиѥ	n	-	-	o:ѥ:-	a	-	ins.sg=слоутиѥмъ	-	U:	-
слъньце.n	слъньце	n	-	-	o:е:-	-	-	-	nom.sg=сльньце|сльнце|слънъце|сльнъце;gen.sg=слънъца|сльньца|ньца;dat.sg=сльньцоу|слънъцоу|слъньцю;acc.sg=сльньце|сльнце;loc.sg=слънъци	K:o:е:-;U:	tie s:е:-,o:е:n
слышатель.n	слꙑшатель	n	m	-	o:ь:m	-	-	-	acc.sg=слꙑшателꙗ	K:o:ь:m	tie o:ь:f
сльза.n	сльза	n	-	-	a:а:-	-	-	-	nom.pl=слъзꙑ;gen.pl=слезъ|слъзъ;acc.pl=слъзꙑ;ins.pl=слъзами|зльзами	K:a:а:-;U:	tie a:а:f,ak:а:-,a:ь:-
сльзоточьникъ.n	сльзоточьникъ	n	-	-	ok:ъ:-	-	-	-	-	K:ok:ъ:-	tie ok:ъ:m
слѣдъ.n	слѣдъ	n	-	-	o:ъ:-	-	-	-	acc.sg=слѣд	K:o:ъ:-;U:	tie o:ъ:m,ok:ъ:-,ok:ъ:m
